"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-03-05,"Fraser",115,1399,1.14,41
2020-03-05,"Interior",23,174,0,59.2
2020-03-05,"Northern",10,56,0,116
2020-03-05,"Unknown",12,159,0,51.8
2020-03-05,"Vancouver Coastal",128,1036,2.05,29.4
2020-03-05,"Vancouver Island",54,217,0,50.3
2020-03-06,"BC",823,3864,1.25,50
2020-03-06,"Fraser",347,1746,0.91,51.7
2020-03-06,"Interior",61,235,0,55.6
2020-03-06,"Northern",21,77,0,68.6
2020-03-06,"Unknown",24,183,0,53
2020-03-06,"Vancouver Coastal",287,1323,2.05,45.9
2020-03-06,"Vancouver Island",83,300,0,46.8
2020-03-07,"BC",511,4375,1.36,47
2020-03-07,"Fraser",216,1962,1.26,45.1
2020-03-07,"Interior",75,310,0,80
2020-03-07,"Northern",5,82,0,60.8
2020-03-07,"Unknown",15,198,0,47
2020-03-07,"Vancouver Coastal",179,1502,1.93,36.8
2020-03-07,"Vancouver Island",21,321,0,32.8
2020-03-08,"BC",469,4844,1.28,46.7
2020-03-08,"Fraser",196,2158,1.25,38.1
2020-03-08,"Interior",57,367,0,79
2020-03-08,"Northern",22,104,0,91.6
2020-03-08,"Unknown",15,213,0,42
2020-03-08,"Vancouver Coastal",103,1605,2,27.8
2020-03-08,"Vancouver Island",76,397,0,58.9
2020-03-09,"BC",556,5400,1.38,46.8
2020-03-09,"Fraser",222,2380,1.37,52.3
2020-03-09,"Interior",10,377,0,110
2020-03-09,"Northern",2,106,1.22,115
2020-03-09,"Unknown",15,228,0,54.9
2020-03-09,"Vancouver Coastal",191,1796,2.07,43.5
2020-03-09,"Vancouver Island",116,513,0.25,34.5
2020-03-10,"BC",809,6209,1.54,58.7
2020-03-10,"Fraser",268,2648,1.51,60.2
2020-03-10,"Interior",146,523,0,91.8
2020-03-10,"Northern",5,111,2.6,83.8
2020-03-10,"Unknown",30,258,0,67.1
2020-03-10,"Vancouver Coastal",253,2049,2.38,52.4
2020-03-10,"Vancouver Island",107,620,0.21,20.9
2020-03-11,"BC",1252,7461,1.66,49.1
2020-03-11,"Fraser",371,3019,1.33,50.9
2020-03-11,"Interior",91,614,0,83.7
2020-03-11,"Northern",58,169,2.44,80.8
2020-03-11,"Unknown",39,297,0,60.2
2020-03-11,"Vancouver Coastal",463,2512,2.99,44.3
2020-03-11,"Vancouver Island",230,850,0.29,32.4
2020-03-12,"BC",1166,8627,1.47,43.6
2020-03-12,"Fraser",321,3340,1.29,47.3
2020-03-12,"Interior",181,795,0,74.9
2020-03-12,"Northern",20,189,2.26,63.4
2020-03-12,"Unknown",3,300,0,99.9
2020-03-12,"Vancouver Coastal",429,2941,2.47,41.6
2020-03-12,"Vancouver Island",212,1062,0.59,12.5
2020-03-13,"BC",1541,10168,1.48,40
2020-03-13,"Fraser",488,3828,1.15,46.7
2020-03-13,"Interior",118,913,0,52.2
2020-03-13,"Northern",19,208,2.29,70.2
2020-03-13,"Unknown",18,318,0,10.7
2020-03-13,"Vancouver Coastal",678,3619,2.48,41.2
2020-03-13,"Vancouver Island",220,1282,0.71,14.6
2020-03-14,"BC",1550,11718,1.43,42.6
2020-03-14,"Fraser",546,4374,0.87,45.6
2020-03-14,"Interior",247,1160,0,53.5
2020-03-14,"Northern",54,262,1.67,79.4
2020-03-14,"Unknown",2,320,0,55
2020-03-14,"Vancouver Coastal",525,4144,2.65,39.6
2020-03-14,"Vancouver Island",176,1458,0.88,14.8
2020-03-15,"BC",1810,13528,1.6,55.7
2020-03-15,"Fraser",598,4972,1.17,64.1
2020-03-15,"Interior",204,1364,0.3,43
2020-03-15,"Northern",34,296,2.08,99.5
2020-03-15,"Unknown",4,324,0,32.1
2020-03-15,"Vancouver Coastal",809,4953,2.54,57.5
2020-03-15,"Vancouver Island",161,1619,1.06,23
2020-03-16,"BC",3517,17045,1.55,68.9
2020-03-16,"Fraser",1495,6467,1,74.8
2020-03-16,"Interior",337,1701,0.23,66.1
2020-03-16,"Northern",69,365,1.16,102.3
2020-03-16,"Unknown",3,327,0,71
2020-03-16,"Vancouver Coastal",1271,6224,2.55,72.3
2020-03-16,"Vancouver Island",342,1961,1.45,26.6
2020-03-17,"BC",3056,20101,1.72,56.9
2020-03-17,"Fraser",1037,7504,1.4,55.9
2020-03-17,"Interior",335,2036,0.2,68.5
2020-03-17,"Northern",181,546,0.46,93.9
2020-03-17,"Unknown",5,332,0,98.2
2020-03-17,"Vancouver Coastal",1127,7351,2.57,58.8
2020-03-17,"Vancouver Island",371,2332,1.75,24.5
2020-03-18,"BC",1146,21247,1.87,38.9
2020-03-18,"Fraser",248,7752,1.61,50.5
2020-03-18,"Interior",45,2081,0.2,82.7
2020-03-18,"Northern",56,602,0.23,76.4
2020-03-18,"Unknown",3,335,0,109.6
2020-03-18,"Vancouver Coastal",546,7897,2.56,39.3
2020-03-18,"Vancouver Island",248,2580,2.31,9.3
2020-03-19,"BC",837,22084,2.17,35.2
2020-03-19,"Fraser",151,7903,1.91,49.1
2020-03-19,"Interior",13,2094,0.54,105.9
2020-03-19,"Northern",13,615,0.23,51.8
2020-03-19,"Unknown",1,336,0,24
2020-03-19,"Vancouver Coastal",614,8511,2.82,31.2
2020-03-19,"Vancouver Island",45,2625,2.56,19.1
2020-03-20,"BC",1511,23595,2.48,41.2
2020-03-20,"Fraser",441,8344,2.5,45.2
2020-03-20,"Interior",163,2257,0.67,77.1
2020-03-20,"Northern",44,659,0.22,107.5
2020-03-20,"Unknown",3,339,0,40.7
2020-03-20,"Vancouver Coastal",577,9088,3.04,27.5
2020-03-20,"Vancouver Island",283,2908,2.71,32.1
2020-03-21,"BC",1975,25570,2.95,53.8
2020-03-21,"Fraser",373,8717,3.25,58
2020-03-21,"Interior",627,2884,1.16,81.8
2020-03-21,"Northern",40,699,0.46,83.1
2020-03-21,"Unknown",0,0,0,0
2020-03-21,"Vancouver Coastal",552,9640,3.53,30.6
2020-03-21,"Vancouver Island",383,3291,2.78,34.1
2020-03-22,"BC",2144,27714,3.17,58.1
2020-03-22,"Fraser",785,9502,3.42,66
2020-03-22,"Interior",349,3233,1.5,63.7
2020-03-22,"Northern",131,830,0.56,104.5
2020-03-22,"Unknown",12,351,0,25.7
2020-03-22,"Vancouver Coastal",582,10222,3.93,46.7
2020-03-22,"Vancouver Island",285,3576,2.91,32.9
2020-03-23,"BC",1971,29685,3.77,66
2020-03-23,"Fraser",942,10444,4.45,72.1
2020-03-23,"Interior",119,3352,1.94,80.4
2020-03-23,"Northern",85,915,0.73,118.3
2020-03-23,"Unknown",1,352,0,139.2
2020-03-23,"Vancouver Coastal",599,10821,4.42,54.5
2020-03-23,"Vancouver Island",225,3801,3.26,43.4
2020-03-24,"BC",1889,31574,4.21,41.8
2020-03-24,"Fraser",636,11080,4.87,51.6
2020-03-24,"Interior",170,3522,2.42,55.9
2020-03-24,"Northern",19,934,1.8,98.6
2020-03-24,"Unknown",0,0,0,0
2020-03-24,"Vancouver Coastal",679,11500,5.04,32.4
2020-03-24,"Vancouver Island",385,4186,3.07,32.9
2020-03-25,"BC",2754,34328,4.12,59.9
2020-03-25,"Fraser",1076,12156,4.31,58.6
2020-03-25,"Interior",625,4147,2.81,70.2
2020-03-25,"Northern",124,1058,1.54,77.6
2020-03-25,"Unknown",74,426,0,65.2
2020-03-25,"Vancouver Coastal",794,12294,5.37,45.3
2020-03-25,"Vancouver Island",61,4247,2.88,124.1
2020-03-26,"BC",2673,37001,4.07,51.7
2020-03-26,"Fraser",660,12816,4.42,36.8
2020-03-26,"Interior",785,4932,2.64,82.1
2020-03-26,"Northern",146,1204,2.04,91.4
2020-03-26,"Unknown",25,451,0,81.3
2020-03-26,"Vancouver Coastal",673,12967,5.66,32.6
2020-03-26,"Vancouver Island",384,4631,2.49,31.3
2020-03-27,"BC",2186,39187,3.92,33
2020-03-27,"Fraser",690,13506,4.26,32.4
2020-03-27,"Interior",369,5301,2.53,44.8
2020-03-27,"Northern",107,1311,1.99,75.5
2020-03-27,"Unknown",12,463,0,63
2020-03-27,"Vancouver Coastal",631,13598,5.61,21.6
2020-03-27,"Vancouver Island",377,5008,2.24,28.9
2020-03-28,"BC",1783,40970,3.69,36.2
2020-03-28,"Fraser",466,13972,3.98,36.1
2020-03-28,"Interior",442,5743,2.62,48.1
2020-03-28,"Northern",81,1392,2.02,75.7
2020-03-28,"Unknown",8,471,0,64
2020-03-28,"Vancouver Coastal",475,14073,5.1,21.1
2020-03-28,"Vancouver Island",311,5319,2.12,31.3
2020-03-29,"BC",1595,42565,3.68,34.2
2020-03-29,"Fraser",460,14432,3.94,33.7
2020-03-29,"Interior",329,6072,2.5,39.6
2020-03-29,"Northern",53,1445,1.95,71.9
2020-03-29,"Unknown",3,474,0,47
2020-03-29,"Vancouver Coastal",530,14603,5.3,29.4
2020-03-29,"Vancouver Island",220,5539,1.83,29
2020-03-30,"BC",1000,43565,3.75,36.5
2020-03-30,"Fraser",331,14763,4.1,41.5
2020-03-30,"Interior",111,6183,2.58,32.7
2020-03-30,"Northern",44,1489,2.09,97.2
2020-03-30,"Unknown",5,479,0,98.2
2020-03-30,"Vancouver Coastal",344,14947,5.62,27.4
2020-03-30,"Vancouver Island",165,5704,1.31,29.6
2020-03-31,"BC",1089,44654,3.79,40.3
2020-03-31,"Fraser",523,15286,4.11,42.2
2020-03-31,"Interior",15,6198,2.58,111.2
2020-03-31,"Northern",76,1565,1.58,87
2020-03-31,"Unknown",10,489,0,62.2
2020-03-31,"Vancouver Coastal",460,15407,5.73,27.5
2020-03-31,"Vancouver Island",5,5709,1.25,62.8
2020-04-01,"BC",1187,45841,3.83,27.2
2020-04-01,"Fraser",420,15706,4.7,27.9
2020-04-01,"Interior",220,6418,2.47,29.3
2020-04-01,"Northern",7,1572,1.95,101.3
2020-04-01,"Unknown",1,490,0,55
2020-04-01,"Vancouver Coastal",337,15744,5.48,21.6
2020-04-01,"Vancouver Island",202,5911,1.08,29.8
2020-04-02,"BC",1145,46986,3.95,30.1
2020-04-02,"Fraser",475,16181,4.58,26.3
2020-04-02,"Interior",11,6429,2.34,61.9
2020-04-02,"Northern",106,1678,1.9,84.3
2020-04-02,"Unknown",13,503,0,66.1
2020-04-02,"Vancouver Coastal",331,16075,5.73,15.9
2020-04-02,"Vancouver Island",209,6120,1.21,29.9
2020-04-03,"BC",1215,48201,4.2,28.9
2020-04-03,"Fraser",416,16597,4.72,26.6
2020-04-03,"Interior",214,6643,2.83,32.2
2020-04-03,"Northern",50,1728,1.92,74.6
2020-04-03,"Unknown",1,504,0,31
2020-04-03,"Vancouver Coastal",312,16387,5.95,20.6
2020-04-03,"Vancouver Island",222,6342,1.5,31.4
2020-04-04,"BC",1247,49448,4.29,29
2020-04-04,"Fraser",503,17100,4.64,28.9
2020-04-04,"Interior",165,6808,2.72,28.8
2020-04-04,"Northern",59,1787,2.03,80.8
2020-04-04,"Unknown",7,511,0,44.7
2020-04-04,"Vancouver Coastal",327,16714,6.21,20.8
2020-04-04,"Vancouver Island",186,6528,1.41,27.1
2020-04-05,"BC",763,50211,4.37,28.5
2020-04-05,"Fraser",183,17283,5.09,25.7
2020-04-05,"Interior",146,6954,2.72,23.9
2020-04-05,"Northern",56,1843,2.26,88.9
2020-04-05,"Unknown",0,0,0,0
2020-04-05,"Vancouver Coastal",217,16931,6.01,17.5
2020-04-05,"Vancouver Island",161,6689,1.3,29.9
2020-04-06,"BC",792,51003,4.18,30.3
2020-04-06,"Fraser",217,17500,5.15,38.4
2020-04-06,"Interior",118,7072,2.14,24.2
2020-04-06,"Northern",51,1894,1.98,64.7
2020-04-06,"Unknown",5,516,0,84.1
2020-04-06,"Vancouver Coastal",255,17186,5.63,19.7
2020-04-06,"Vancouver Island",146,6835,1.24,27.9
